TID,FRAKOMMUNE,ALDER,INDHOLD
2007,Koebenhavn,18 år,0
2007,Frederiksberg,18 år,63
2007,Dragoer,18 år,10
2007,Taernby,18 år,41
2007,Albertslund,18 år,10
2007,Ballerup,18 år,21
2007,Broendby,18 år,13
2007,Gentofte,18 år,42
2007,Gladsaxe,18 år,41
2007,Glostrup,18 år,5
2007,Herlev,18 år,11
2007,Hvidovre,18 år,35
2007,Hoeje-Taastrup,18 år,19
2007,Ishoej,18 år,12
2007,Lyngby-Taarbaek,18 år,16
2007,Roedovre,18 år,20
2007,Vallensbaek,18 år,3
2007,Alleroed,18 år,13
2007,Egedal,18 år,14
2007,Fredensborg,18 år,21
2007,Frederikssund,18 år,15
2007,Furesoe,18 år,15
2007,Gribskov,18 år,8
2007,Halsnaes,18 år,11
2007,Helsingoer,18 år,15
2007,Hilleroed,18 år,14
2007,Hoersholm,18 år,15
2007,Rudersdal,18 år,30
2007,Bornholm,18 år,18
2007,Christiansoe,18 år,0
2007,Greve,18 år,20
2007,Koege,18 år,19
2007,Lejre,18 år,8
2007,Roskilde,18 år,22
2007,Solroed,18 år,7
2007,Faxe,18 år,8
2007,Guldborgsund,18 år,23
2007,Holbaek,18 år,19
2007,Kalundborg,18 år,17
2007,Lolland,18 år,17
2007,Naestved,18 år,21
2007,Odsherred,18 år,9
2007,Ringsted,18 år,4
2007,Slagelse,18 år,13
2007,Soroe,18 år,9
2007,Stevns,18 år,9
2007,Vordingborg,18 år,14
2007,Assens,18 år,3
2007,Faaborg-Midtfyn,18 år,1
2007,Kerteminde,18 år,2
2007,Langeland,18 år,4
2007,Middelfart,18 år,4
2007,Nordfyns,18 år,1
2007,Nyborg,18 år,4
2007,Odense,18 år,21
2007,Svendborg,18 år,13
2007,Aeroe,18 år,1
2007,Billund,18 år,3
2007,Esbjerg,18 år,8
2007,Fanoe,18 år,0
2007,Fredericia,18 år,7
2007,Haderslev,18 år,3
2007,Kolding,18 år,3
2007,Soenderborg,18 år,8
2007,Toender,18 år,4
2007,Varde,18 år,5
2007,Vejen,18 år,4
2007,Vejle,18 år,6
2007,Aabenraa,18 år,1
2007,Favrskov,18 år,1
2007,Hedensted,18 år,0
2007,Horsens,18 år,4
2007,Norddjurs,18 år,0
2007,Odder,18 år,2
2007,Randers,18 år,4
2007,Samsoe,18 år,0
2007,Silkeborg,18 år,1
2007,Skanderborg,18 år,3
2007,Syddjurs,18 år,0
2007,Aarhus,18 år,15
2007,Herning,18 år,4
2007,Holstebro,18 år,2
2007,Ikast-Brande,18 år,1
2007,Lemvig,18 år,2
2007,Ringkoebing-Skjern,18 år,1
2007,Skive,18 år,4
2007,Struer,18 år,0
2007,Viborg,18 år,5
2007,Broenderslev,18 år,2
2007,Frederikshavn,18 år,2
2007,Hjoerring,18 år,7
2007,Jammerbugt,18 år,1
2007,Laesoe,18 år,0
2007,Mariagerfjord,18 år,5
2007,Morsoe,18 år,1
2007,Rebild,18 år,0
2007,Thisted,18 år,3
2007,Vesthimmerlands,18 år,1
2007,Aalborg,18 år,7
